,Property_Name,Location,Region,Property_Age,Availability,Area_Tpye,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
277,Paradise Sai Crystals ,702 Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1175,15333,7,2,2,115
278,Unnamed Property,Pokhran 2 Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,1330,28195,16,3,3,375
279,Unnamed Property,thakurli Mumbai Beyond Thane Mumbai,Thakurli Mumbai,5 to 10 Year,Ready To Move,Built Up Area,665,7368,3,1,1,49
280,Unnamed Property,204 Kharegaon Mumbai Beyond Thane Mumbai,Kharegaon Mumbai,10+ Year,Ready To Move,Carpet Area,892,14013,2,3,2,125
281,Unnamed Property,Sector 2 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,10+ Year,Ready To Move,Plot Area,1200,13750,3,3,2,165
282,Unnamed Property,Dahisar East Mumbai,Dahisar Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,462,21645,7,1,1,100
283,Bhagwati Greens ,1301 Sector 23 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1365,30000,13,2,2,240
284,Unnamed Property,1101 A Wing Nehru Nagar Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,565,26548,11,2,2,150
285,Siddha Seabrook ,Kandivali West Mumbai,Kandivali Mumbai,Under Construction,Under Construction,Carpet Area,706,27903,27,2,2,197
286,Unnamed Property,106 E Mira Road Mira Road And Beyond Mumbai,Mira Road,Under Construction,Under Construction,Built Up Area,665,8270,1,1,1,55
287,Unnamed Property,Vasai West Vasai West Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Carpet Area,1900,7105,1,4,2,135
288,Unnamed Property,Hiranandani Estate Thane Mumbai,Hiranandani Thane,10+ Year,Ready To Move,Carpet Area,1380,22463,6,3,3,310
289,Darvesh Ayesha Tower ,101 1st Floor Jogeshwari West Mumbai,Jogeshwari Mumbai,10+ Year,Ready To Move,Super Built Up Area,2300,14347,1,3,3,330
290,Unnamed Property,Row House No 2 400708 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,10+ Year,Ready To Move,Plot Area,450,16888,2,1,2,76
291,Unnamed Property,1102 Sector 14 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,2110,29620,11,5,4,625
292,Unnamed Property,Dadar East South Mumbai Mumbai,Dadar Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1050,42000,2,3,4,441
293,Unnamed Property,403 404 Seven Bunglow Mumbai,Seven Bunglow,10+ Year,Ready To Move,Built Up Area,1750,35714,4,3,3,625
294,Unnamed Property,3rd Cross Lane Lokhandwala Andheri West Mumbai,Andheri Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,3500,35000,16,4,4,1000
295,Shamiks Elanza ,Vakola Mumbai South West Mumbai,Vakola Mumbai,5 to 10 Year,Ready To Move,Carpet Area,59,504965,12,2,2,300
296,Balaji Garden CHS ,Sector 11 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,2200,12727,13,4,4,280
297,Ten BKC ,Bandra East Mumbai South West Mumbai,South Mumbai,Under Construction,Under Construction,Carpet Area,1328,56475,3,3,4,750
298,Unnamed Property,Building 14 Flat 02 Ground Floor Hanuman Chowk Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,500,22000,0,1,1,110
299,Unnamed Property,Kandivali West Mumbai,Kandivali Mumbai,Under Construction,Under Construction,Carpet Area,586,30716,12,2,3,180
300,Raj Estate ,G 402 Kashigaon Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,910,10659,4,2,2,97
301,Lodha Palava City ,Dombivli East Thane Mumbai,Dombivli Thane,5 to 10 Year,Ready To Move,Carpet Area,659,8801,16,2,2,58
302,Unnamed Property,E2104 Mulund West Central Mumbai suburbs Mumbai,Central Mumbai,Under Construction,Under Construction,Carpet Area,619,29079,21,2,2,180
303,Hiranandani Hill Grange ,Hiranandani Estate Thane Mumbai,Hiranandani Thane,10+ Year,Ready To Move,Built Up Area,1350,15555,3,3,3,210
304,Tirupati Arcade ,A602 Tirupati Arcade Sector21 Kharghar mumbai Navi Sector 21 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,2000,14000,6,3,3,250
305,Acme Avenue ,11th Floor Charkop Mumbai,Charkop Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1284,11604,11,2,2,138
306,Unnamed Property,Sion West Central Mumbai suburbs Mumbai,Central Mumbai,Under Construction,Under Construction,Super Built Up Area,2200,47500,20,3,3,570
307,Dosti Imperia ,3 Bhk Hill Facing Flat Available Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Built Up Area,1654,15235,5,3,3,252
308,Royal Oasis ,Jankalyan Nagar Mumbai,Malad Mumbai,1 to 5 Year,Ready To Move,Carpet Area,727,23383,20,2,2,170
309,Unnamed Property,Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Carpet Area,710,19718,14,2,2,140
310,Unnamed Property,Dadar East South Mumbai Mumbai,Dadar Mumbai,0 to 1 Year,Ready To Move,Carpet Area,930,34408,12,2,2,320
311,Unnamed Property,Ghatkopar East Garodia Nagar Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,575,23478,2,1,1,135
312,Omkar Alta Monte ,Malad East Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,4200,20238,7,5,5,850
313,Unnamed Property,Taloja Bypass Road C 905 Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,734,7765,9,2,2,57
314,Unnamed Property,Jogeshwari East Mumbai,Jogeshwari Mumbai,10+ Year,Ready To Move,Built Up Area,565,20884,6,1,2,118
315,Unnamed Property,4th Floor Top Floor Plus Private Terrace Sector 19 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1250,7360,4,2,2,92
316,Lodha Upper Thane ,A 1003 Anjurdive Mumbai Beyond Thane Mumbai,Anjurdive Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1485,12121,10,3,3,180
317,Unnamed Property,Dombivli East Thane Mumbai,Dombivli Thane,5 to 10 Year,Ready To Move,Carpet Area,1300,20384,12,3,3,260
318,Bombay Taximens CHS ,LBS Marg Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Super Built Up Area,700,17142,2,1,1,120
319,Unnamed Property,Mahim West Mumbai South West Mumbai,Mahim Mumbai,0 to 1 Year,Ready To Move,Carpet Area,650,51538,4,2,2,335
320,Lok Raunak ,501 Wing A1 Marol Mumbai,Marol Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1400,14285,5,3,3,200
321,Unnamed Property,Seawoods Navi Mumbai Mumbai,Seawoods Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,450,14444,3,1,1,65
322,Unnamed Property,Two Dattanagar Mumbai Beyond Thane Mumbai,Dattanagar Mumbai,10+ Year,Ready To Move,Carpet Area,1180,11016,1,2,2,130
323,Unnamed Property,Lakeside Raheja Vihar Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,702,21367,8,1,1,150
324,Hiranandani Torino ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Super Built Up Area,1450,45000,34,3,3,665
325,Kohinoor City Mumbai ,Phase 1 kurla west Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,1600,31875,7,4,4,510
326,NG Complex ,Marol Mumbai,Marol Mumbai,10+ Year,Ready To Move,Super Built Up Area,640,16406,4,1,2,105
327,Unnamed Property,Sector 29 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,950,29473,4,3,3,280
328,Unnamed Property,Sector 35e Flat No 305 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,965,8808,3,2,2,85
329,Jolly Maker Apartment ,Cuffe Parade South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Built Up Area,2135,74941,20,5,4,1600
330,Shivam Paradise ,503 Nerul Navi Mumbai Mumbai,Nerul Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,850,15882,5,2,2,135
