,Property_Name,Location,Region,Property_Age,Availability,Area_Tpye,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
229,Gopala Apartment ,101 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1550,10322,0,2,2,160
230,Cosmos Springs Angel ,Owale Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Built Up Area,1400,11785,20,3,3,165
231,Godrej Sky Garden ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,570,13157,6,2,2,75
232,Unnamed Property,Chembur Mumbai Maharashtra India Chembur Mumbai Harbour Mumbai,Mumbai Harbour,5 to 10 Year,Ready To Move,Carpet Area,561,52584,2,2,2,295
233,Unnamed Property,Thane West Thane Mumbai,Thane,10+ Year,Ready To Move,Built Up Area,1264,15427,1,3,3,195
234,Unnamed Property,Prabhadevi South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Built Up Area,1206,62189,6,3,4,750
235,Panchali Apartment ,Panchali Apartment Sector 12 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1720,16279,1,3,4,280
236,Unnamed Property,Lokhandwala Andheri West Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Super Built Up Area,860,27906,5,2,2,227
237,Unnamed Property,O 13 Sector 9 Belapur Navi Mumbai Mumbai,Belapur Navi-Mumbai,10+ Year,Ready To Move,Plot Area,2000,8750,2,3,2,175
238,Unnamed Property,004 a Nalasopara West Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Carpet Area,365,6575,0,1,1,24
239,Unnamed Property,B Wing Rathodi Marve Road Mumbai,Marve Road,5 to 10 Year,Ready To Move,Carpet Area,800,18750,7,2,2,150
240,Squarefeet Grand Square ,4th Floor Anand Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,409,14180,4,1,2,58
241,Sai Darshan Apartment ,Ghatkopar West Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,537,23277,5,1,1,125
242,Lodha Palava City ,F504 casario Gold exotica Kalyanshil Road Dombivli East Thane Mumbai,Dombivli Thane,5 to 10 Year,Ready To Move,Carpet Area,960,10000,5,2,2,96
243,Dharma Sadan ,Flat No 201 Dharma Sadan Sec 19 Plot 87 Behind Reliance Fresh Kharghar Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,687,17452,2,3,3,120
244,Vasudev Sky High ,102 Building No 4 Mira Road East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,960,9166,1,2,2,88
245,Unnamed Property,Plot 26 Panvel Matheran Road Sector 12 New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,1185,8016,2,3,2,95
246,Wadhwa Viceroy Park ,A1401 Dahisar West Mumbai,Dahisar Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1510,18211,14,3,3,275
247,Unnamed Property,Sector 13 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,460,12391,4,1,1,57
248,Vihang Hills ,Owale Owale Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Carpet Area,555,15676,9,2,2,87
249,Unnamed Property,Shirdon Navi Mumbai Mumbai,Shirdon Navi-Mumbai,10+ Year,Ready To Move,Plot Area,3000,2166,1,2,2,65
250,Unnamed Property,Mazgaon Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Built Up Area,400,22500,5,1,2,90
251,Unnamed Property,504 Parsik Nagar Kalwa Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Built Up Area,760,9210,5,1,1,70
252,Greenwood Estate Phase 2 ,A1 101 Phase 1 Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,650,6461,1,2,2,42
253,Unnamed Property,Mira Bhayandar Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Super Built Up Area,850,12352,5,2,2,105
254,Unnamed Property,Dombivli East Thane Mumbai,Dombivli Thane,5 to 10 Year,Ready To Move,Carpet Area,449,9354,5,1,1,42
255,Unnamed Property,605 Parsik Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Built Up Area,760,8947,6,1,1,68
256,Unnamed Property,Bhayander West Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Carpet Area,460,13043,3,1,2,60
257,Unnamed Property,Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,829,8443,1,2,2,70
258,Ravi Gaurav City ,Mira Road East Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Super Built Up Area,750,7539,6,2,2,55
259,Unnamed Property,IC Colony Mumbai,Borivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,675,32592,1,3,2,220
260,Unnamed Property,Titwala Titwala Mumbai Beyond Thane Mumbai,Titwala Mumbai,10+ Year,Ready To Move,Super Built Up Area,530,5660,0,1,1,32
261,Patels Pride ,703 Ambernath Mumbai Beyond Thane Mumbai,Ambernath Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,938,3732,7,2,2,34
262,Zoeb Aayesha Palace ,Parel South Mumbai Mumbai,South Mumbai,Under Construction,Under Construction,Super Built Up Area,649,16982,2,1,1,110
263,Kalpataru Vienta ,Kandivali East Mumbai,Kandivali Mumbai,Under Construction,Under Construction,Carpet Area,1480,39864,8,5,4,590
264,Anmol Sankalp ,Sector 5 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1100,9090,12,2,2,100
265,West Metro Residency ,Kalyan East Mumbai Beyond Thane Mumbai,Kalyan Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1050,7142,7,2,2,75
266,AO Realty Bianca ,502 Andheri East Mumbai,Andheri Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1194,34530,5,2,2,250
267,Balaji Symphony ,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,44,117514,7,1,1,52
268,Unnamed Property,Opp Of Sewri Station Sewri Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Built Up Area,200,24000,1,1,1,48
269,Unnamed Property,403404 Versova Mumbai,Versova Mumbai,10+ Year,Ready To Move,Built Up Area,1750,35714,4,3,3,625
270,Unnamed Property,202 Gajawakra Adarsh Society Swami Narayan Road 52 Bunglow Bandar Road Panvel Old Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,938,8528,2,2,2,80
271,Paradise Sai Miracle ,1102 Sector 35E Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1685,15217,11,3,3,175
272,Jeevan Vihar Building ,Malabar Hill South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Built Up Area,1300,32692,0,2,2,425
273,Unnamed Property,Neral Mumbai Beyond Thane Mumbai,Neral Mumbai,5 to 10 Year,Ready To Move,Built Up Area,600,3500,1,1,1,21
274,Unnamed Property,Lalbaug Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Built Up Area,440,30681,5,1,1,135
275,Unnamed Property,Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Built Up Area,704,22443,4,2,2,158
276,Konnark Sai Krupa Premises ,102 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,2800,16025,1,4,4,250
